Song,Album,Genres,Year,Rank
Back To December,Speak Now,['pop'],2011,74
Teenage Dream,Teenage Dream,['pop'],2011,75
Crazy Girl,Life At Best,"['heartland rock', 'classic texas country', 'contemporary country', 'country road', 'country']",2011,76
Cheers (Drink To That),Loud,"['pop', 'barbadian pop', 'urban contemporary']",2011,77
Who Says,When The Sun Goes Down,['pop'],2011,78
Barefoot Blue Jean Night,Barefoot Blue Jean Night,"['country road', 'contemporary country', 'country']",2011,79
Knee Deep (feat. Jimmy Buffett),You Get What You Give,"['country road', 'contemporary country', 'modern country rock', 'country']",2011,80
Country Girl (Shake It For Me),Tailgates & Tanlines,"['country road', 'contemporary country', 'country']",2011,81
Remind Me (In the Style of Brad Paisley and Carrie Underwood) [Karaoke Version],Karaoke Country Songs September.2011,['karaoke'],2011,82
Backseat (feat. The Cataracs & Dev),Too Cool to Care,['pop rap'],2011,84
Headlines,Take Care (Deluxe),"['toronto rap', 'canadian hip hop', 'canadian pop', 'rap', 'hip hop']",2011,85
Best Thing I Never Had,4,"['pop', 'r&b']",2011,86
Don't Wanna Go Home (Originally Performed By Jason Derulo),Karaoke Hits 2011 Vol. 6,['karaoke'],2011,87
Where Them Girls At (feat. Nicki Minaj & Flo Rida),Nothing but the Beat 2.0,"['pop dance', 'dance pop', 'hip pop', 'edm', 'queens hip hop', 'big room', 'pop rap', 'rap', 'miami hip hop', 'pop']",2011,88
She Ain't You,F.A.M.E. (Expanded Edition),"['r&b', 'rap']",2011,89
Take A Back Road,Take A Back Road,"['country road', 'contemporary country', 'country']",2011,90
Please Don't Go,31 Minutes to Takeoff,"['pop', 'dance pop', 'pop rap']",2011,91
Sure Thing,All I Want Is You,['r&b'],2011,92
Price Tag,Who You Are (Platinum Edition),"['dance pop', 'southern hip hop', 'pop rap', 'atl hip hop', 'rap', 'pop']",2011,93
God Gave Me You,Red River Blue (Deluxe Edition),"['country road', 'classic oklahoma country', 'contemporary country', 'country']",2011,94
She Will,Tha Carter IV (Complete Edition),"['new orleans rap', 'toronto rap', 'canadian hip hop', 'trap', 'canadian pop', 'rap', 'hip hop', 'pop rap']",2011,95
Are You Gonna Kiss Me Or Not,Thompson Square,"['country road', 'contemporary country', 'country', 'country dawn']",2011,96
Animal,Habits,"['modern rock', 'pov: indie', 'neo mellow', 'pop rock']",2011,97
You and Tequila (feat. Grace Potter),Hemingway's Whiskey,"['country road', 'contemporary country', 'country']",2011,98
Colder Weather,You Get What You Give,"['country road', 'contemporary country', 'modern country rock', 'country']",2011,99
My Last,Finally Famous (Deluxe),"['southern hip hop', 'detroit hip hop', 'trap', 'rap', 'hip hop', 'pop rap', 'r&b']",2011,100
Somebody That I Used To Know,Making Mirrors,"['nz pop', 'electropop', 'bergen indie', 'australian pop']",2012,1
Call Me Maybe,Kiss (Deluxe),"['pop', 'dance pop', 'canadian pop']",2012,2
We Are Young (feat. Janelle Monáe),Some Nights,"['neo soul', 'afrofuturism', 'metropopolis', 'baroque pop', 'alternative r&b', 'atl hip hop', 'r&b']",2012,3
Payphone,Overexposed (Deluxe),"['southern hip hop', 'trap', 'pop rap', 'rap', 'hip hop', 'pittsburgh rap', 'pop']",2012,4
Lights,An Introduction To Ellie Goulding EP,"['pop', 'indietronica', 'metropopolis', 'uk pop']",2012,5
Glad You Came,Battleground (Deluxe Edition),"['pop', 'dance pop', 'post-teen pop', 'boy band']",2012,6
Stronger (What Doesn't Kill You),Stronger (Deluxe Version),"['pop', 'dance pop', 'talent show']",2012,7
We Found Love,Talk That Talk,"['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'barbadian pop', 'progressive house', 'urban contemporary', 'pop']",2012,8
Starships,Pink Friday ... Roman Reloaded,"['pop', 'hip pop', 'rap', 'queens hip hop']",2012,9
What Makes You Beautiful,Up All Night,"['pop', 'post-teen pop', 'talent show', 'boy band']",2012,10
Wild Ones (feat. Sia),Wild Ones,"['dance pop', 'pop rap', 'miami hip hop', 'pop', 'australian dance', 'australian pop']",2012,11
Set Fire to the Rain,21,"['pop', 'british soul', 'pop soul', 'uk pop']",2012,12
Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),"['pop', 'dance pop', 'pop rap']",2012,13
Some Nights,Some Nights,"['baroque pop', 'metropopolis']",2012,14
Wide Awake,Teenage Dream: The Complete Confection,['pop'],2012,15
Good Feeling,Wild Ones,"['pop', 'dance pop', 'pop rap', 'miami hip hop']",2012,16
Whistle,Wild Ones,"['pop', 'dance pop', 'pop rap', 'miami hip hop']",2012,17
One More Night,Overexposed (Deluxe),['pop'],2012,18
Drive By,California 37,"['pop', 'dance pop', 'neo mellow', 'pop rock']",2012,19
The Motto,Take Care (Deluxe),"['new orleans rap', 'toronto rap', 'canadian hip hop', 'trap', 'canadian pop', 'rap', 'hip hop', 'pop rap']",2012,20
Where Have You Been,Talk That Talk,"['pop', 'barbadian pop', 'urban contemporary']",2012,21
Everybody Talks,Picture Show,"['modern rock', 'pov: indie', 'neo mellow', 'pop rock']",2012,22
Take Care,Take Care (Deluxe),"['toronto rap', 'canadian hip hop', 'barbadian pop', 'urban contemporary', 'canadian pop', 'rap', 'hip hop', 'pop']",2012,23
Titanium (feat. Sia),Nothing but the Beat 2.0,"['pop dance', 'dance pop', 'edm', 'big room', 'pop', 'australian dance', 'australian pop']",2012,24
I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),"['pop', 'dance pop', 'neo mellow', 'acoustic pop']",2012,25
It Will Rain,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),"['pop', 'dance pop']",2012,26
Mercy,Mercy,"['chicago rap', 'southern hip hop', 'virginia hip hop', 'detroit hip hop', 'trap', 'gangster rap', 'atl hip hop', 'rap', 'hip hop', 'pop rap', 'r&b']",2012,27
Boyfriend,Believe,"['pop', 'canadian pop']",2012,28
Party Rock Anthem,Sorry For Party Rocking,"['pop', 'dance pop', 'pop rap']",2012,29
Too Close,The Lateness Of The Hour,['modern alternative rock'],2012,30
Part Of Me,Teenage Dream: The Complete Confection,['pop'],2012,31
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","['pop', 'dance pop', 'southern hip hop', 'g funk', 'trap', 'gangster rap', 'rap', 'hip hop', 'pittsburgh rap', 'pop rap', 'west coast rap']",2012,32
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),['pop'],2012,33
As Long As You Love Me,Believe (Deluxe Edition),"['southern hip hop', 'detroit hip hop', 'trap', 'pop rap', 'canadian pop', 'rap', 'hip hop', 'pop', 'r&b']",2012,34
Turn Me On (feat. Nicki Minaj),Nothing but the Beat 2.0,"['pop dance', 'dance pop', 'hip pop', 'edm', 'queens hip hop', 'big room', 'rap', 'pop']",2012,35
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,"['pop', 'dance pop']",2012,36
Good Time,Upbeat and Clean Music For Kids,"['pop', 'dance pop', 'canadian pop', 'indietronica']",2012,38
Give Your Heart a Break,Unbroken,"['pop', 'post-teen pop']",2012,39
Ni**as In Paris,Watch The Throne (Deluxe),"['chicago rap', 'east coast hip hop', 'gangster rap', 'rap', 'hip hop', 'pop rap']",2012,40
The One That Got Away,Teenage Dream,['pop'],2012,41
Feel So Close - Radio Edit,18 Months,"['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'progressive house', 'pop']",2012,42
Someone Like You,21,"['pop', 'british soul', 'pop soul', 'uk pop']",2012,43
Scream,Looking 4 Myself (Expanded Edition),"['dance pop', 'south carolina hip hop', 'urban contemporary', 'atl hip hop', 'contemporary r&b', 'rap', 'pop', 'r&b']",2012,44
Rack City,Careless World: Rise Of The Last King,"['pop rap', 'trap', 'rap', 'hip hop']",2012,45
Domino,Who You Are (Platinum Edition),"['pop', 'dance pop']",2012,46
Gangnam Style (강남스타일),Gangnam Style (강남스타일),"['korean old school hip hop', 'k-rap']",2012,47
International Love (feat. Chris Brown),Planet Pit (Deluxe Version),"['dance pop', 'rap', 'miami hip hop', 'pop', 'r&b']",2012,48
Home,The World From The Side Of The Moon,"['folk-pop', 'neo mellow', 'pop rock']",2012,49
Without You (feat. Usher),Nothing but the Beat 2.0,"['pop dance', 'dance pop', 'edm', 'south carolina hip hop', 'big room', 'urban contemporary', 'atl hip hop', 'contemporary r&b', 'rap', 'pop', 'r&b']",2012,50
Ass Back Home (feat. Neon Hitch),The Papercut Chronicles II,"['pop rap', 'dance pop', 'electropop']",2012,51
Wanted,Hunter Hayes (Encore),"['country road', 'contemporary country', 'modern country rock', 'country']",2012,52
Drunk On You,Tailgates & Tanlines,"['country road', 'contemporary country', 'country']",2012,53
No Lie,Based On A T.R.U. Story (Deluxe),"['southern hip hop', 'toronto rap', 'canadian hip hop', 'trap', 'atl hip hop', 'rap', 'canadian pop', 'hip hop', 'pop rap']",2012,54
Want U Back,Sticks & Stones,"['pop', 'dance pop', 'post-teen pop', 'talent show']",2012,55
Dance (A$$) Remix,Finally Famous,"['pop', 'hip pop', 'southern hip hop', 'queens hip hop', 'detroit hip hop', 'trap', 'rap', 'hip hop', 'pop rap', 'r&b']",2012,57
Springsteen,Chief,"['country road', 'contemporary country', 'country']",2012,58
Brokenhearted,Hello,"['viral pop', 'post-teen pop']",2012,59
Not Over You,Sweeter,"['neo mellow', 'pop rock']",2012,60
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,"['pop rap', 'dance pop', 'deep talent show']",2012,61
"Back in Time - featured in ""Men In Black 3""",Global Warming: Meltdown (Deluxe Version),"['pop', 'dance pop', 'miami hip hop']",2012,62
Work Out,Cole World: The Sideline Story,"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop']",2012,63
Rumour Has It,21,"['pop', 'british soul', 'pop soul', 'uk pop']",2012,64
Let's Go (feat. Ne-Yo),18 Months,"['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'progressive house', 'urban contemporary', 'pop', 'r&b']",2012,65
Good Girl,Blown Away,"['dance pop', 'country dawn', 'classic oklahoma country', 'contemporary country', 'country']",2012,66
Pontoon,Tornado,"['country road', 'contemporary country', 'country', 'country dawn']",2012,67
Ho Hey,The Lumineers,"['stomp and holler', 'folk-pop', 'modern rock', 'neo mellow']",2012,68
Paradise,Mylo Xyloto,"['pop', 'permanent wave']",2012,69
Blown Away,Blown Away,"['dance pop', 'country dawn', 'classic oklahoma country', 'contemporary country', 'country']",2012,70
Rolling in the Deep,21,"['pop', 'british soul', 'pop soul', 'uk pop']",2012,71
Climax,Looking 4 Myself (Expanded Edition),"['dance pop', 'south carolina hip hop', 'urban contemporary', 'atl hip hop', 'contemporary r&b', 'rap', 'pop', 'r&b']",2012,72
"Work Hard, Play Hard",O.N.I.F.C. (Deluxe),"['southern hip hop', 'trap', 'rap', 'hip hop', 'pittsburgh rap', 'pop rap']",2012,73
Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),"['pop', 'dance pop', 'r&b', 'urban contemporary']",2012,74
Pound The Alarm,Pink Friday ... Roman Reloaded,"['pop', 'hip pop', 'rap', 'queens hip hop']",2012,75
Come Over,Welcome To The Fishbowl,"['country road', 'contemporary country', 'country']",2012,76
Heart Attack,Chapter V (Deluxe),"['dance pop', 'southern hip hop', 'trap', 'urban contemporary', 'r&b']",2012,77
Drank in My Cup,Drank in My Cup,"['dirty south rap', 'trap', 'southern hip hop']",2012,78
Birthday Cake,Talk That Talk,"['pop', 'barbadian pop', 'urban contemporary']",2012,79
So Good,Strange Clouds,"['dance pop', 'southern hip hop', 'atl hip hop', 'rap', 'pop rap']",2012,80
50 Ways to Say Goodbye,California 37,"['pop', 'dance pop', 'neo mellow', 'pop rock']",2012,81
Red Solo Cup,Clancy's Tavern,"['country road', 'classic oklahoma country', 'contemporary country', 'country']",2012,82
Love You Like A Love Song,When The Sun Goes Down,['pop'],2012,83
Turn Up the Music,Fortune (Expanded Edition),"['r&b', 'rap']",2012,84
Die Young,Warrior (Expanded Edition),"['pop', 'dance pop']",2012,85
5 O'Clock (feat. Lily Allen & Wiz Khalifa),Revolver (Expanded Edition),"['dance pop', 'southern hip hop', 'trap', 'electropop', 'gangster rap', 'urban contemporary', 'rap', 'hip hop', 'pittsburgh rap', 'pop rap', 'r&b']",2012,86
A Thousand Years,A Thousand Years,['pop'],2012,87
Take A Little Ride,Night Train,"['country road', 'contemporary country', 'modern country rock', 'country']",2012,88
You Da One,Talk That Talk,"['pop', 'barbadian pop', 'urban contemporary']",2012,89
We Run The Night,We Run The Night,"['dance pop', 'miami hip hop', 'pop', 'australian dance', 'australian pop']",2012,90
It's Time,Night Visions,"['pop', 'rock', 'modern rock']",2012,91
I Don't Want This Night To End,Tailgates & Tanlines,"['country road', 'contemporary country', 'country']",2012,93
Diamonds,Unapologetic (Edited Version),"['pop', 'barbadian pop', 'urban contemporary']",2012,94
Hard To Love,Hard 2 Love,"['country road', 'contemporary country', 'modern country rock', 'country']",2012,95
Somethin' 'Bout A Truck,Up All Night,"['country road', 'contemporary country', 'modern country rock', 'country']",2012,96
Adorn,Kaleidoscope Dream,['r&b'],2012,97
Fly Over States,My Kinda Party,"['country road', 'contemporary country', 'modern country rock', 'country']",2012,98
Even If It Breaks Your Heart,Life At Best,"['heartland rock', 'classic texas country', 'contemporary country', 'country road', 'country']",2012,99
BURN IT DOWN,LIVING THINGS,"['alternative metal', 'nu metal', 'rock', 'post-grunge', 'rap metal']",2012,100
Thrift Shop (feat. Wanz),The Heist (Deluxe Edition),"['pop rap', 'seattle hip hop']",2013,1
Blurred Lines,Blurred Lines (Deluxe),"['pop', 'dance pop', 'neo soul', 'dirty south rap', 'southern hip hop', 'trap', 'gangster rap', 'urban contemporary', 'atl hip hop', 'rap', 'hip hop', 'pop rap', 'r&b']",2013,2
Radioactive,Night Visions,"['pop', 'rock', 'modern rock']",2013,3
Harlem Shake,Harlem Shake,"['electro house', 'electronic trap', 'edm']",2013,4
Can't Hold Us (feat. Ray Dalton),The Heist,"['pop rap', 'seattle hip hop']",2013,5
Mirrors,The 20/20 Experience (Deluxe Version),"['pop', 'dance pop']",2013,6
Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,"['pop', 'dance pop', 'modern rock']",2013,7
When I Was Your Man,Unorthodox Jukebox,"['pop', 'dance pop']",2013,8
Roar,PRISM,['pop'],2013,10
Locked out of Heaven,Unorthodox Jukebox,"['pop', 'dance pop']",2013,11
Ho Hey,The Lumineers,"['stomp and holler', 'folk-pop', 'modern rock', 'neo mellow']",2013,12
Stay,Unapologetic (Deluxe),"['nashville indie', 'pop', 'barbadian pop', 'urban contemporary']",2013,13
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"['dance pop', 'disco', 'rock', 'filter house', 'electro', 'pop']",2013,14
Royals,Pure Heroine,"['pop', 'metropopolis', 'nz pop', 'art pop']",2013,15
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),['pop'],2013,16
We Can't Stop,Bangerz (Deluxe Version),['pop'],2013,17
Wrecking Ball,Bangerz (Deluxe Version),['pop'],2013,18
Wake Me Up,TRUE,"['pop', 'pop dance', 'edm']",2013,19
Suit & Tie (feat. JAY Z) (feat. Jay-Z) - [Radio Edit],Suit & Tie (feat. JAY Z) (feat. Jay-Z) [Radio Edit],"['dance pop', 'east coast hip hop', 'gangster rap', 'pop rap', 'rap', 'hip hop', 'pop']",2013,20
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Ultimate Pitch Perfect (Original Motion Picture Soundtrack),['hollywood'],2013,21
Holy Grail,Magna Carta... Holy Grail,"['pop', 'dance pop', 'east coast hip hop', 'gangster rap', 'rap', 'hip hop', 'pop rap']",2013,22
Scream & Shout,#willpower,"['pop', 'dance pop']",2013,23
Clarity,Clarity,"['pop dance', 'edm', 'complextro', 'electropop', 'metropopolis', 'pop', 'german techno', 'uk pop']",2013,24
Sail,Megalithic Symphony,"['rock', 'modern alternative rock', 'modern rock', 'stomp pop', 'la indie']",2013,25
Don't You Worry Child - Radio Edit,Don't You Worry Child,"['pop dance', 'progressive electro house', 'pop edm', 'edm']",2013,26
Diamonds,Unapologetic (Edited Version),"['pop', 'barbadian pop', 'urban contemporary']",2013,27
I Love It (feat. Charli XCX),THIS IS... ICONA POP,"['pop', 'swedish synthpop', 'dance pop', 'art pop', 'electropop', 'metropopolis', 'candy pop', 'swedish electropop', 'uk pop']",2013,28
Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),"['modern rock', 'metropopolis']",2013,29
Treasure,Unorthodox Jukebox,"['pop', 'dance pop']",2013,30
The Way,Yours Truly,"['pittsburgh rap', 'pop', 'rap', 'hip hop']",2013,31
Started From the Bottom,Nothing Was The Same,"['toronto rap', 'canadian hip hop', 'canadian pop', 'rap', 'hip hop']",2013,32
Come & Get It,Stars Dance (Bonus Track Version),"['pop', 'post-teen pop']",2013,33
"Hold On, We're Going Home",Nothing Was The Same,"['toronto rap', 'canadian hip hop', 'canadian contemporary r&b', 'canadian pop', 'rap', 'hip hop']",2013,34
Daylight,Overexposed (Deluxe),['pop'],2013,35
Feel This Moment (feat. Christina Aguilera),Global Warming: Meltdown (Deluxe Version),"['pop', 'dance pop', 'miami hip hop']",2013,36
Applause,ARTPOP,"['pop', 'dance pop', 'art pop']",2013,37
One More Night,Overexposed (Deluxe),['pop'],2013,38
Love Me,I Am Not A Human Being II (Deluxe),"['southern hip hop', 'new orleans rap', 'toronto rap', 'canadian hip hop', 'trap', 'canadian pop', 'rap', 'atl hip hop', 'hip hop', 'pop rap']",2013,39
My Songs Know What You Did In The Dark (Light Em Up),Save Rock And Roll,"['pop punk', 'rock', 'modern rock', 'pop', 'emo']",2013,40
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),"['southern hip hop', 'east coast hip hop', 'canadian hip hop', 'toronto rap', 'trap', 'conscious hip hop', 'canadian pop', 'rap', 'atl hip hop', 'hip hop', 'pop rap', 'west coast rap']",2013,41
Beauty And A Beat,Believe (Deluxe Edition),"['hip pop', 'queens hip hop', 'canadian pop', 'rap', 'pop']",2013,42
Same Love (feat. Mary Lambert),The Heist,"['pop rap', 'neo mellow', 'seattle hip hop']",2013,43
Sweet Nothing (feat. Florence Welch),18 Months,"['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'progressive house', 'pop', 'uk pop']",2013,44
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Dance Classics & Hits,"['electro house', 'pop dance', 'art pop', 'edm', 'progressive electro house', 'progressive house', 'pop']",2013,45
Home,The World From The Side Of The Moon,"['folk-pop', 'neo mellow', 'pop rock']",2013,46
It's Time,Night Visions,"['pop', 'rock', 'modern rock']",2013,47
Power Trip (feat. Miguel),Born Sinner (Deluxe Version),"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop', 'r&b']",2013,48
Girl on Fire,Girl on Fire (Remixes) - EP,"['pop', 'neo soul', 'r&b']",2013,49
Heart Attack,Demi,"['pop', 'post-teen pop']",2013,50
Love Somebody,Overexposed (Deluxe),['pop'],2013,51
I Will Wait,Babel (Deluxe Version),"['uk americana', 'stomp and holler', 'neo mellow', 'modern rock', 'modern folk rock']",2013,52
Wagon Wheel,True Believers,"['country road', 'contemporary country', 'country', 'black americana']",2013,54
Gangnam Style (강남스타일),Gangnam Style (강남스타일),"['korean old school hip hop', 'k-rap']",2013,55
I Need Your Love (feat. Ellie Goulding),18 Months,"['electro house', 'dance pop', 'house', 'uk dance', 'edm', 'progressive house', 'metropopolis', 'pop', 'indietronica', 'uk pop']",2013,56
Die Young,Warrior (Expanded Edition),"['pop', 'dance pop']",2013,57
Some Nights,Some Nights,"['baroque pop', 'metropopolis']",2013,58
Bad (feat. Tiara Thomas),Bad (feat. Tiara Thomas),"['southern hip hop', 'trap', 'rap', 'pop r&b', 'pop rap', 'r&b']",2013,59
"Boys 'Round Here (feat. Jason Aldean, Luke Bryan, Ronnie Dunn, Miranda Lambert, Brad Paisley, Reba, Josh Turner, Keith Urban & Hank Williams, Jr.) - Celebrity Mix","Boys 'Round Here (feat. Jason Aldean, Luke Bryan, Ronnie Dunn, Miranda Lambert, Brad Paisley, Reba, Josh Turner, Keith Urban & Hank Williams, Jr.) [Celebrity Mix]","['outlaw country', 'country dawn', 'country rock', 'classic oklahoma country', 'contemporary country', 'australian country', 'country road', 'modern country rock', 'country', 'australian pop']",2013,60
"Gone, Gone, Gone",The World From The Side Of The Moon,"['folk-pop', 'neo mellow', 'pop rock']",2013,61
Demons,Night Visions,"['pop', 'rock', 'modern rock']",2013,62
Counting Stars,Native,"['pop', 'piano rock']",2013,63
I Cry,Wild Ones,"['pop', 'dance pop', 'pop rap', 'miami hip hop']",2013,64
Little Talks,My Head Is An Animal,"['stomp and holler', 'folk-pop', 'modern rock', 'metropopolis']",2013,65
The Other Side,Talk Dirty,"['pop', 'dance pop']",2013,66
Berzerk,The Marshall Mathers LP2 (Deluxe),"['detroit hip hop', 'rap', 'hip hop']",2013,67
Catch My Breath,Greatest Hits - Chapter One,"['pop', 'dance pop', 'talent show']",2013,68
Crash My Party,Crash My Party,"['country road', 'contemporary country', 'country']",2013,69
Pour It Up,Unapologetic (Deluxe),"['pop', 'barbadian pop', 'urban contemporary']",2013,70
22 (Taylor's Version),Red (Taylor's Version),['pop'],2013,71
I Want Crazy - Encore,Hunter Hayes (Encore),"['country road', 'contemporary country', 'modern country rock', 'country']",2013,72
The Fox (What Does the Fox Say?),The Fox (What Does the Fox Say?),['comic'],2013,73
Best Song Ever,Midnight Memories (Deluxe),"['pop', 'post-teen pop', 'talent show', 'boy band']",2013,74
The A Team,+,"['pop', 'uk pop']",2013,75
Carry On,Some Nights,"['baroque pop', 'metropopolis']",2013,76
Highway Don't Care,Two Lanes Of Freedom,"['contemporary country', 'australian country', 'country road', 'pop', 'country', 'australian pop']",2013,77
That's My Kind Of Night,Crash My Party,"['country road', 'contemporary country', 'country']",2013,78
Swimming Pools (Drank),Swimming Pools (Drank),"['conscious hip hop', 'rap', 'west coast rap', 'hip hop']",2013,79
Sure Be Cool If You Did,Based on a True Story... (Deluxe Edition),"['country road', 'classic oklahoma country', 'contemporary country', 'country']",2013,80
#Beautiful,Me. I Am Mariah…The Elusive Chanteuse,"['pop', 'dance pop', 'r&b', 'urban contemporary']",2013,81
Troublemaker (feat. Flo Rida),Right Place Right Time (Expanded Edition),"['dance pop', 'pop rap', 'talent show', 'miami hip hop', 'pop']",2013,82
Body Party,Ciara,"['hip pop', 'dance pop', 'urban contemporary', 'pop', 'r&b']",2013,83
Adorn,Kaleidoscope Dream,['r&b'],2013,84
Hall of Fame (feat. will.i.am),#3,"['pop', 'dance pop', 'celtic rock']",2013,85
Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),"['pop', 'dance pop', 'r&b', 'urban contemporary']",2013,86
"U.O.E.N.O. (feat. Rick Ross, Future)",Gift Of Gab 2 (Deluxe Edition),"['old school atlanta hip hop', 'dirty south rap', 'atl hip hop', 'trap']",2013,87
Next To Me,Our Version Of Events,"['talent show', 'r&b']",2013,88
Mama's Broken Heart,Four The Record,"['country road', 'contemporary country', 'country', 'country dawn']",2013,89
It Goes Like This,It Goes Like This,"['country road', 'contemporary country', 'modern country rock', 'country']",2013,90
Bugatti,Trials & Tribulations (Deluxe),"['dirty south rap', 'southern hip hop', 'hip hop', 'trap', 'gangster rap', 'atl hip hop', 'rap', 'miami hip hop', 'pop rap']",2013,91
Wanted,Hunter Hayes (Encore),"['country road', 'contemporary country', 'modern country rock', 'country']",2013,92
Downtown,Golden,"['country dawn', 'contemporary country', 'country pop', 'country road', 'country']",2013,93
Get Your Shine On,Here's To The Good Times,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'country']",2013,94
#thatPOWER,#willpower (Deluxe),"['pop', 'dance pop', 'canadian pop']",2013,95
Brave,The Blessed Unrest,"['post-teen pop', 'acoustic pop', 'pop rock', 'lilith', 'neo mellow']",2013,96
Let Her Go,All The Little Lights,"['folk-pop', 'neo mellow']",2013,97
Runnin' Outta Moonlight,How Country Feels,"['country road', 'contemporary country', 'country']",2013,98
I'm Different (In the Style of 2 Chainz) [Karaoke Intrumental Version],"2013 Pop Instrumentals, Vol. 13",['karaoke'],2013,99
Still into You,Paramore,"['pop punk', 'candy pop', 'rock', 'pixie', 'modern rock', 'pop', 'pop emo']",2013,100
"Happy - From ""Despicable Me 2""",G I R L,"['pop', 'dance pop']",2014,1
Dark Horse,PRISM,"['southern hip hop', 'crunk', 'trap', 'pop rap', 'rap', 'memphis hip hop', 'pop']",2014,2
All of Me,Love In The Future (Expanded Edition),"['pop', 'neo soul', 'pop soul', 'urban contemporary']",2014,3
Fancy,The New Classic (Deluxe Version),"['dance pop', 'art pop', 'candy pop', 'metropopolis', 'australian hip hop', 'pop', 'uk pop']",2014,4
Counting Stars,Native,"['pop', 'piano rock']",2014,5
Talk Dirty (feat. 2 Chainz),Talk Dirty,"['dance pop', 'southern hip hop', 'trap', 'pop rap', 'atl hip hop', 'rap', 'hip hop', 'pop']",2014,6
Rude,Don't Kill the Magic,"['pop', 'reggae fusion']",2014,7
All About That Bass,Title (Deluxe),"['pop', 'hip pop']",2014,8
Problem,My Everything (Deluxe),"['pop', 'dance pop', 'australian hip hop']",2014,9
Stay With Me,In The Lonely Hour,"['pop', 'uk pop']",2014,10
Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),"['pop', 'dance pop', 'miami hip hop']",2014,11
Pompeii,Bad Blood,"['pop', 'modern rock', 'metropopolis']",2014,12
Shake It Off,1989,['pop'],2014,13
"Turn Down for What (feat. Juicy J, 2 Chainz & French Montana) - Official Remix","Turn Down for What (feat. Juicy J, 2 Chainz & French Montana) [Official Remix]","['pop dance', 'dance pop', 'dirty south rap', 'southern hip hop', 'edm', 'crunk', 'trap', 'old school atlanta hip hop', 'pop rap', 'atl hip hop', 'rap', 'hip hop', 'memphis hip hop', 'pop', 'electronic trap']",2014,15
The Monster,The Marshall Mathers LP2,"['detroit hip hop', 'barbadian pop', 'urban contemporary', 'rap', 'hip hop', 'pop']",2014,16
Say Something,"Chillout Pop inc. John Legend, Miley Cyrus & John Mayer","['viral pop', 'dance pop', 'pop rock', 'neo mellow', 'pop', 'piano rock']",2014,17
Team,Pure Heroine,"['pop', 'metropopolis', 'nz pop', 'art pop']",2014,18
Let Her Go,All The Little Lights,"['folk-pop', 'neo mellow']",2014,19
Royals,Pure Heroine,"['pop', 'metropopolis', 'nz pop', 'art pop']",2014,20
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),"['broadway', 'hollywood', 'show tunes', 'movie tunes']",2014,21
Wake Me Up,TRUE,"['pop', 'pop dance', 'edm']",2014,22
Demons,Night Visions,"['pop', 'rock', 'modern rock']",2014,23
Story of My Life,Midnight Memories (Deluxe),"['pop', 'post-teen pop', 'talent show', 'boy band']",2014,24
Chandelier,1000 Forms Of Fear (Deluxe Version),"['pop', 'australian dance', 'australian pop']",2014,25
Black Widow,The New Classic,"['pop', 'dance pop', 'australian hip hop', 'uk pop']",2014,26
Bang Bang - Imanos & Gramercy Remix,Bang Bang (Remixes),"['hip pop', 'dance pop', 'queens hip hop', 'rap', 'pop']",2014,27
Latch,Settle (Deluxe),"['house', 'uk dance', 'edm', 'tropical house', 'pop', 'indietronica', 'uk pop']",2014,28
Maps,V,['pop'],2014,29
Loyal (feat. Lil Wayne & Tyga),X (Expanded Edition),"['new orleans rap', 'trap', 'rap', 'hip hop', 'pop rap', 'r&b']",2014,30
Best Day Of My Life,"Oh, What A Life","['modern rock', 'pop rock']",2014,31
